

--cv /media/genyoda/Extra_Storage/Projets/MOBELS/Beluga_PopStructure_Global/./00_Data/03b_ddRAD_Bringloe/populations.24709snps.638ind.NoOutliers.recode.bed 4 -j8


****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 8 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 638x24709
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.271	Loglikelihood: -1.31823e+07	(delta): 1.07126e+07
2 (EM) 	Elapsed: 1.506	Loglikelihood: -1.26504e+07	(delta): 531918
3 (EM) 	Elapsed: 1.551	Loglikelihood: -1.25303e+07	(delta): 120090
4 (EM) 	Elapsed: 1.553	Loglikelihood: -1.24667e+07	(delta): 63567.2
5 (EM) 	Elapsed: 1.549	Loglikelihood: -1.24248e+07	(delta): 41961.6
Initial loglikelihood: -1.24248e+07
Starting main algorithm
1 (QN/Block) 	Elapsed: 3.871	Loglikelihood: -1.2275e+07	(delta): 149737
2 (QN/Block) 	Elapsed: 3.907	Loglikelihood: -1.21992e+07	(delta): 75831.7
3 (QN/Block) 	Elapsed: 4.03	Loglikelihood: -1.21801e+07	(delta): 19093.5
4 (QN/Block) 	Elapsed: 4.035	Loglikelihood: -1.21767e+07	(delta): 3384.52
5 (QN/Block) 	Elapsed: 3.962	Loglikelihood: -1.21753e+07	(delta): 1469.15
6 (QN/Block) 	Elapsed: 3.972	Loglikelihood: -1.21749e+07	(delta): 390.633
7 (QN/Block) 	Elapsed: 3.972	Loglikelihood: -1.21747e+07	(delta): 192.274
8 (QN/Block) 	Elapsed: 4.068	Loglikelihood: -1.21746e+07	(delta): 105.572
9 (QN/Block) 	Elapsed: 4.119	Loglikelihood: -1.21744e+07	(delta): 187.66
10 (QN/Block) 	Elapsed: 4.11	Loglikelihood: -1.21743e+07	(delta): 97.7782
11 (QN/Block) 	Elapsed: 4.121	Loglikelihood: -1.21742e+07	(delta): 62.9856
12 (QN/Block) 	Elapsed: 4.099	Loglikelihood: -1.21742e+07	(delta): 58.5794
13 (QN/Block) 	Elapsed: 4.11	Loglikelihood: -1.21741e+07	(delta): 73.6747
14 (QN/Block) 	Elapsed: 4.104	Loglikelihood: -1.21741e+07	(delta): 39.6466
15 (QN/Block) 	Elapsed: 4.121	Loglikelihood: -1.2174e+07	(delta): 30.5932
16 (QN/Block) 	Elapsed: 4.089	Loglikelihood: -1.2174e+07	(delta): 19.8722
17 (QN/Block) 	Elapsed: 4.108	Loglikelihood: -1.2174e+07	(delta): 20.6743
18 (QN/Block) 	Elapsed: 4.098	Loglikelihood: -1.2174e+07	(delta): 7.29438
19 (QN/Block) 	Elapsed: 4.099	Loglikelihood: -1.2174e+07	(delta): 14.2134
20 (QN/Block) 	Elapsed: 4.115	Loglikelihood: -1.2174e+07	(delta): 8.77401
21 (QN/Block) 	Elapsed: 4.092	Loglikelihood: -1.21739e+07	(delta): 9.70038
22 (QN/Block) 	Elapsed: 4.093	Loglikelihood: -1.21739e+07	(delta): 3.31373
23 (QN/Block) 	Elapsed: 4.099	Loglikelihood: -1.21739e+07	(delta): 11.5481
24 (QN/Block) 	Elapsed: 4.098	Loglikelihood: -1.21739e+07	(delta): 7.36828
25 (QN/Block) 	Elapsed: 4.103	Loglikelihood: -1.21739e+07	(delta): 6.14331
26 (QN/Block) 	Elapsed: 4.097	Loglikelihood: -1.21739e+07	(delta): 4.13805
27 (QN/Block) 	Elapsed: 4.113	Loglikelihood: -1.21739e+07	(delta): 3.39054
28 (QN/Block) 	Elapsed: 4.047	Loglikelihood: -1.21739e+07	(delta): 1.2611
29 (QN/Block) 	Elapsed: 4.031	Loglikelihood: -1.21739e+07	(delta): 2.90621
30 (QN/Block) 	Elapsed: 4.035	Loglikelihood: -1.21739e+07	(delta): 3.36865
31 (QN/Block) 	Elapsed: 4.031	Loglikelihood: -1.21739e+07	(delta): 5.89024
32 (QN/Block) 	Elapsed: 4.022	Loglikelihood: -1.21739e+07	(delta): 1.46478
33 (QN/Block) 	Elapsed: 4.107	Loglikelihood: -1.21739e+07	(delta): 2.26087
34 (QN/Block) 	Elapsed: 4.117	Loglikelihood: -1.21739e+07	(delta): 0.468213
35 (QN/Block) 	Elapsed: 4.097	Loglikelihood: -1.21739e+07	(delta): 0.596416
36 (QN/Block) 	Elapsed: 4.102	Loglikelihood: -1.21739e+07	(delta): 0.737159
37 (QN/Block) 	Elapsed: 4.091	Loglikelihood: -1.21739e+07	(delta): 1.3956
38 (QN/Block) 	Elapsed: 4.108	Loglikelihood: -1.21739e+07	(delta): 0.301474
39 (QN/Block) 	Elapsed: 4.112	Loglikelihood: -1.21739e+07	(delta): 0.522824
40 (QN/Block) 	Elapsed: 4.115	Loglikelihood: -1.21739e+07	(delta): 0.56912
41 (QN/Block) 	Elapsed: 4.157	Loglikelihood: -1.21739e+07	(delta): 0.358533
42 (QN/Block) 	Elapsed: 4.106	Loglikelihood: -1.21739e+07	(delta): 0.604339
43 (QN/Block) 	Elapsed: 4.134	Loglikelihood: -1.21739e+07	(delta): 0.370849
44 (QN/Block) 	Elapsed: 4.148	Loglikelihood: -1.21739e+07	(delta): 0.130952
45 (QN/Block) 	Elapsed: 4.137	Loglikelihood: -1.21739e+07	(delta): 0.182228
46 (QN/Block) 	Elapsed: 4.112	Loglikelihood: -1.21739e+07	(delta): 0.505145
47 (QN/Block) 	Elapsed: 4.094	Loglikelihood: -1.21739e+07	(delta): 1.23018
48 (QN/Block) 	Elapsed: 4.132	Loglikelihood: -1.21739e+07	(delta): 0.128884
49 (QN/Block) 	Elapsed: 4.135	Loglikelihood: -1.21739e+07	(delta): 0.129521
50 (QN/Block) 	Elapsed: 4.098	Loglikelihood: -1.21739e+07	(delta): 0.129827
51 (QN/Block) 	Elapsed: 4.113	Loglikelihood: -1.21739e+07	(delta): 1.49977
52 (QN/Block) 	Elapsed: 4.109	Loglikelihood: -1.21739e+07	(delta): 0.318973
53 (QN/Block) 	Elapsed: 4.18	Loglikelihood: -1.21739e+07	(delta): 0.0697499
54 (QN/Block) 	Elapsed: 4.108	Loglikelihood: -1.21739e+07	(delta): 0.171838
55 (QN/Block) 	Elapsed: 4.121	Loglikelihood: -1.21739e+07	(delta): 0.3725
56 (QN/Block) 	Elapsed: 4.096	Loglikelihood: -1.21739e+07	(delta): 0.60748
57 (QN/Block) 	Elapsed: 4.093	Loglikelihood: -1.21739e+07	(delta): 0.155319
58 (QN/Block) 	Elapsed: 4.105	Loglikelihood: -1.21739e+07	(delta): 0.164936
59 (QN/Block) 	Elapsed: 4.124	Loglikelihood: -1.21739e+07	(delta): 0.132474
60 (QN/Block) 	Elapsed: 4.095	Loglikelihood: -1.21739e+07	(delta): 0.340918
61 (QN/Block) 	Elapsed: 4.099	Loglikelihood: -1.21739e+07	(delta): 0.0722661
